"-92.43235	35.11232"
"-92.42674	35.09174"
"-92.440206	35.06713"
"-95.229729	40.143898"
"-91.96265	33.11759"
"-93.16257	35.22115"
"-94.327759	34.04538"
"-91.48338	33.88354"
"-92.68691	33.20656"
"-92.66579	33.22919"
"-92.08951	35.10975"
"-93.734093	36.38789"
"-94.24995	36.04114"
"-94.2012	36.05202"
"-94.20282	36.07845"
"-94.157914	36.063205"
"-94.15605	36.08325"
"-94.12115	36.08624"
"-94.198419	35.997284"
"-94.148369	36.123776"
"-92.43734	33.8212"
"-90.78996	35.03316"
"-94.339116	35.348969"
"-94.407591	35.328846"
"-94.4228	35.3381"
"-94.40405	35.38618"
"-94.36816	35.36109"
"-94.368739	35.403432"
"-94.3878	35.29605"
"-94.338581	35.347649"
"-92.47994	36.28798"
"-92.38824	35.22825"
"-94.27125	35.21722"
"-91.486888	36.317788"
"-93.183299	36.29429"
"-93.116241	36.245126"
"-92.02916	35.50835"
"-93.610449	33.682256"
"-93.08186	34.49344"
"-93.05964	34.47751"
"-93.07517	34.45182"
"-93.04757	34.50377"
"-93.125019	34.47262"
"-93.12611	34.50329"
"-92.10962	34.88477"
"-92.11777	34.86731"
"-92.10744	34.885"
"-90.68511	35.82112"
"-90.7055	35.82126"
"-90.68061	35.84588"
"-90.67923	35.82836"
"-91.31168	33.39476"
"-92.48482	34.81078"
"-92.38757	34.76652"
"-92.37667	34.67022"
"-92.3603	34.77316"
"-92.35436	34.742"
"-92.34372	34.6778"
"-92.34242	34.71515"
"-92.27617	34.74266"
"-92.18943	34.7188"
"-92.412039	34.65621"
"-92.40423	34.75416"
"-91.889544	34.800512"
"-94.145798	36.254234"
"-93.225484	33.266655"
"-92.829578	34.392598"
"-92.80974	34.36329"
"-90.206667	35.213298"
"-90.43253	35.52808"
"-94.2243	34.5863"
"-91.80183	33.635457"
"-92.719981	35.170076"
"-92.34116	36.35733"
"-92.36952	36.35012"
"-93.85133	33.92972"
"-91.25614	35.60547"
"-92.392814	34.828785"
"-92.38305	34.82552"
"-92.26163	34.75586"
"-92.23516	34.81945"
"-92.1997	34.77575"
"-92.381729	34.88452"
"-92.2711	34.79506"
"-92.22781	34.79038"
"-89.97908	35.69746"
"-93.82468	35.50591"
"-90.52298	36.059799"
"-90.547229	36.059807"
"-90.504339	36.052655"
"-94.116478	36.442833"
"-92.003399	34.223535"
"-92.061402	34.192644"
"-92.043431	34.230191"
"-91.97235	34.20992"
"-92.006854	34.201052"
"-90.962029	36.250984"
"-94.180992	36.335045"
"-94.116593	36.355227"
"-94.151428	36.281303"
"-94.152959	36.28217"
"-94.12724	36.333703"
"-93.13323	35.28872"
"-93.09361	35.27895"
"-93.106939	35.27821"
"-91.73637	35.24403"
"-91.69415	35.25026"
"-92.39898	34.30174"
"-92.18387	34.82949"
"-92.209324	34.832635"
"-94.513008	36.181202"
"-94.539322	36.210869"
"-94.143799	36.167157"
"-94.117003	36.167041"
"-94.179803	36.175394"
"-94.138921	36.18048"
"-91.551343	34.479191"
"-94.03714	33.43022"
"-94.216214	36.175788"
"-90.5282	35.6418"
"-94.356089	35.469754"
"-94.32697	35.44315"
"-94.35657	35.46473"
"-93.990549	34.929627"
"-90.95454	36.07594"
"-92.07193	33.60724"
"-90.6514	34.55326"
"-90.235979	35.14674"
"-90.18486	35.16553"
"-90.13751	35.15336"
"-92.10059	34.25975"
"-90.78486	35.2319"
"-111.97568	33.34824"
"-112.13691	33.865671"
"-111.57168	33.41495"
"-112.33854	33.46075"
"-112.2732	33.46482"
"-112.2898	33.49139"
"-111.822891	35.236824"
"-110.343437	31.957027"
"-112.556541	33.437077"
"-112.556497	33.464217"
"-114.578438	35.125702"
"-114.596901	35.082714"
"-114.597878	35.106483"
"-111.87416	34.56562"
"-111.71223	32.87947"
"-111.756595	32.929052"
"-111.73336	32.87945"
"-110.92582	32.49429"
"-111.794899	33.279453"
"-111.94365	33.30555"
"-111.8414	33.2889"
"-111.96103	33.281088"
"-111.84082	33.302879"
"-111.821787	33.29211"
"-111.875069	33.335489"
"-111.887783	33.306347"
"-111.790962	33.276842"
"-111.857936	33.259629"
"-111.859439	33.234652"
"-111.842204	33.320176"
"-112.453087	34.773804"
"-110.83439	33.414054"
"-111.52411	32.98607"
"-111.96698	34.696159"
"-112.00185	34.71927"
"-109.552132	31.34444"
"-109.55842	31.33938"
"-112.341949	33.60907"
"-111.61926	32.78011"
"-111.62701	35.19219"
"-111.58	35.22725"
"-111.66164	35.18702"
"-111.387543	33.038811"
"-111.485783	33.063229"
"-114.59785	35.01826"
"-111.71605	33.5747"
"-112.70753	32.94912"
"-111.7557	33.33614"
"-111.755649	33.29946"
"-111.824	33.35064"
"-111.80775	33.33518"
"-111.7895	33.37886"
"-111.75591	33.36525"
"-111.688	33.26645"
"-112.271789	33.544244"
"-112.26399	33.50922"
"-112.17955	33.55296"
"-112.35804	33.53709"
"-112.18641	33.5243"
"-112.185081	33.567677"
"-112.185152	33.638646"
"-112.23825	33.5375"
"-112.2049	33.50952"
"-112.20274	33.66906"
"-112.20016	33.71209"
"-112.18646	33.63764"
"-112.16751	33.5965"
"-112.15357	33.5383"
"-112.151588	33.610972"
"-110.769	33.39481"
"-111.46923	33.35922"
"-112.39274	33.45931"
"-112.341317	33.453539"
"-112.392755	33.4535"
"-112.35701	33.4646"
"-110.99629	31.85177"
"-110.15186	34.91806"
"-110.250385	36.707743"
"-114.03576	35.22161"
"-114.00841	35.21992"
"-114.364409	34.571587"
"-114.34352	34.47024"
"-112.33908	33.49345"
"-111.09214	32.35674"
"-111.164108	32.423904"
"-111.755676	32.879482"
"-112.186951	33.276531"
"-112.231003	34.398441"
"-111.47959	33.39326"
"-111.873619	33.431889"
"-111.73377	33.4517"
"-111.80696	33.37982"
"-111.72248	33.37711"
"-111.8768	33.39323"
"-111.87188	33.433"
"-111.7388	33.38276"
"-111.73634	33.3933"
"-111.6346	33.41506"
"-111.598282	33.385677"
"-111.859	33.3665"
"-111.85706	33.41511"
"-111.8401	33.3923"
"-111.83958	33.45164"
"-111.8231	33.42253"
"-111.78903	33.41553"
"-111.75349	33.42326"
"-111.71917	33.43651"
"-111.68507	33.39109"
"-111.685	33.45181"
"-111.63599	33.37826"
"-111.862923	33.393284"
"-110.93118	31.36723"
"-110.94238	31.33466"
"-110.94123	31.36603"
"-110.946819	32.42712"
"-111.48548	36.90471"
"-114.286607	34.151076"
"-111.32258	34.24049"
"-112.240898	33.57729"
"-112.24074	33.61005"
"-112.27274	33.70439"
"-112.2603	33.65246"
"-112.25428	33.56614"
"-112.2384	33.68146"
"-112.2205	33.63795"
"-112.203	33.58182"
"-111.983763	33.601868"
"-112.22095	33.47057"
